index	original	translation	scores	mean	z_scores	z_mean
0	A humanist to the core, Gopi exudes nativity and national outlook in his poetry.	ஒரு மனிதாபிமான கோபி, தனது கவிதைகளில் பிறப்பு மற்றும் தேசிய கண்ணோட்டத்தை வெளிப்படுத்துகிறார்.	[50,95,76]	73.66666666666667	[-2.0539813154348314, 0.6184291206010091, -0.6385191463517237]	-0.6913571137285154
1	It is bounded by Namakkal district in the north, Dindigul district in the south, Tiruchirapalli district on the east and Erode & Tiruppur districts on the west.	இதன் வடக்கில் நாமக்கல் மாவட்டமும், தெற்கில் திண்டுக்கல் மாவட்டமும், கிழக்கில் திருச்சிராப்பள்ளி மாவட்டமும், மேற்கில் ஈரோடு மற்றும் திருப்பூர் மாவட்டங்களும் உள்ளன.	[98,95,94]	95.66666666666669	[0.7524376846469182, 0.6184291206010091, 0.506839287090999]	0.6259020307796421
2	This increases the reliability of the results, often through a comparison between control measurements and the other measurements.	இது பெரும்பாலும் கட்டுப்பாட்டு அளவீடுகளுக்கும் பிற அளவீடுகளுக்கும் இடையிலான ஒப்பீடு மூலம் முடிவுகளின் நம்பகத்தன்மையை அதிகரிக்கிறது.	[98,95,99]	97.33333333333331	[0.7524376846469182, 0.6184291206010091, 0.8249944074917553]	0.7319537375798942
3	The geography of Mesopotamia had a profound impact on the political development of the region.	மெசொப்பொத்தேமியாவின் புவியியல் இப்பகுதியின் அரசியல் வளர்ச்சியில் ஆழ்ந்த தாக்கத்தை ஏற்படுத்தியது.	[98,95,95]	96.0	[0.7524376846469182, 0.6184291206010091, 0.5704703111711503]	0.6471123721396926
4	Thus the elite national schools are controlled directly by the ministry of education and the provincial schools by the provincial government.	எனவே உயர்மட்ட தேசிய பள்ளிகள் கல்வி அமைச்சகத்தாலும், மாகாண பள்ளிகள் மாகாண அரசாங்கத்தாலும் நேரடியாக கட்டுப்படுத்தப்படுகின்றன.	[92,95,96]	94.33333333333331	[0.40163530963669947, 0.6184291206010091, 0.6341013352513015]	0.5513885884963368
5	His adviser explains that this had come about as a result of talking too much.	அளவுக்கு அதிகமாக பேசுவதன் விளைவாக இது நிகழ்ந்ததாக அவரது ஆலோசகர் விளக்குகிறார்.	[98,80,91]	89.66666666666667	[0.7524376846469182, -0.20228697726433362, 0.31594621485054525]	0.2886989740777099
6	The Liquid Propulsion Systems Centre (LPSC) is a research and development centre functioning under Indian Space Research Organisation.	திரவ உந்துவிசை அமைப்பு மையம் (Liquid Propulsion Systems Centre-LPSC) என்பது இந்திய விண்வெளி ஆராய்ச்சி நிறுவனத்தின் கீழ் செயல்படும் ஒரு ஆராய்ச்சி மற்றும் மேம்பாட்டு மையமாகும்.	[98,95,98]	97.0	[0.7524376846469182, 0.6184291206010091, 0.761363383411604]	0.7107433962198438
7	Kuching (/ˈkuːtʃɪŋ/), officially the City of Kuching, is the capital and the most populous city in the state of Sarawak in Malaysia.	குச்சிங் (Kuching) மலேசியாவின் சரவாக் மாநிலத்தின் தலைநகரமும் மிகப்பெரிய நகரமும் ஆகும்.	[30,80,43]	51.0	[-3.223322565468894, -0.20228697726433362, -2.738342940996715]	-2.0546508279099807
8	Their aim is to enhance quality of life through collaborative research and action.	கூட்டு ஆராய்ச்சி மற்றும் செயல்பாடுகள் மூலம் வாழ்க்கைத் தரத்தை உயர்த்துவதே அவர்களின் நோக்கமாகும்.	[98,98,95]	97.0	[0.7524376846469182, 0.7825723401740775, 0.5704703111711503]	0.7018267786640487
9	Smith secured a contract to replace supermodel Claudia Schiffer in a Guess jeans ad campaign featuring a series of sultry black-and-white photographs.	கேஸ் ஜீன்ஸ் விளம்பரத்தில் சூப்பர் மாடல் கிளாடியா ஷிஃபரை மாற்றியமைப்பதற்கான ஒப்பந்தத்தை ஸ்மித் பெற்றார்.	[30,50,42]	40.66666666666666	[-3.223322565468894, -1.8437191729950189, -2.8019739650768662]	-2.623005234513593
