index	original	translation	scores	mean	z_scores	z_mean
0	[citation needed] Four leaf phases are recognised in the development of a eucalyptus plant: the ‘seedling’, ‘juvenile’, ‘intermediate’, and ‘adult’ phases.	एक यूकेलिप्टस पौधे के विकास में चार पत्ती चरण पहचाने जाते हैंः 'अंकुर', 'किशोर', 'मध्यवर्ती' और 'वयस्क' चरण।	[75, 75, 77, 82]	77.25	[-1.115305097972482, -1.0486684179242434, 0.426641517430839, 0.7106771142112794]	-0.2566637210636516
1	This rule is so strictly enforced that, even where the conflict of interest or conflict of duty is purely hypothetical, the directors can be forced to disgorge all personal gains arising from it.	यह नियम इतनी सख्ती से लागू किया गया है कि जहां हितों का टकराव या कर्तव्य का टकराव विशुद्ध रूप से काल्पनिक है, वहां निदेशकों को इससे उत्पन्न सभी व्यक्तिगत लाभों को छोड़ने के लिए मजबूर किया जा सकता है।	[90, 90, 65, 65]	77.5	[0.12609030444560904, 0.2069211629237486, -0.8147553949731403, -0.8833099294999376]	-0.3412634642759301
2	At the urging of the International Monetary Fund (IMF), the government cut government spending and raised interest rates, which only served to exacerbate the economic situation.	अंतर्राष्ट्रीय मुद्रा कोष (आईएमएफ) के आग्रह पर, सरकार ने सरकारी खर्च में कटौती की और ब्याज दरों में वृद्धि की, जिससे केवल आर्थिक स्थिति को बढ़ावा मिला।	[95, 95, 89, 80]	89.75	[0.539888771918306, 0.6254510232064127, 1.6680384298348183, 0.5231492267158422]	0.8391318629188448
3	He quit the movement and turned to Sufism.	उन्होंने आंदोलन छोड़ दिया और सूफीवाद की ओर मुड़ गए।	[100, 95, 79, 82]	89.0	[0.953687239391003, 0.6254510232064127, 0.6335410028315023, 0.7106771142112794]	0.7308390949100494
4	He immediately sent a message to the Thakur of Asota.	उन्होंने तुरंत असोटा के ठाकुर को एक संदेश भेजा।	[100, 95, 76, 70]	85.25	[0.953687239391003, 0.6254510232064127, 0.3231917747305074, -0.4144902107613443]	0.3719599566416447
5	Most Islamic jurists hold there is another type of riba, which is the simultaneous exchange of unequal quantities or qualities of a given commodity.	अधिकांश इस्लामी न्यायविदों का मानना है कि रिबा का एक अन्य प्रकार है, जो किसी भी वस्तु की असमान मात्रा या गुणों का एक साथ आदान-प्रदान है।	[95, 95, 68, 85]	85.75	[0.539888771918306, 0.6254510232064127, -0.5044061668721455, 0.9919689454544354]	0.4132256434267521
6	He established the RSS network in the Kashmir Valley.	उन्होंने कश्मीर घाटी में आरएसएस का नेटवर्क स्थापित किया।	[90, 95, 89, 80]	88.5	[0.12609030444560904, 0.6254510232064127, 1.6680384298348183, 0.5231492267158422]	0.7356822460506706
7	"In his attempts to catch Jerry, Tom often has to deal with Spike (known as ""Killer"" and ""Butch"" in some shorts), an angry, vicious but easily duped bulldog who tries to attack Tom for bothering him or his son Tyke while trying to get Jerry."	जेरी को पकड़ने के अपने प्रयासों में, टॉम को अक्सर स्पाइक (कुछ शॉर्ट्स में 'किलर' और 'बुच' के रूप में जाना जाता है) से निपटना पड़ता है, जो एक गुस्सैल, शातिर लेकिन आसानी से ठगा हुआ बुलडॉग है जो जेरी को पाने की कोशिश करते समय टॉम को परेशान करने के लिए उस पर हमला करने की कोशिश करता है।	[70, 70, 78, 75]	73.25	[-1.529103565445179, -1.4671982782069075, 0.5300912601311706, 0.05432950797724894]	-0.6029702688859169
8	He swears to kill Sikandar.	वह सिकन्दर को मारने की कसम खाता है।	[95, 95, 70, 84]	86.0	[0.539888771918306, 0.6254510232064127, -0.29750668147148224, 0.8982050017067168]	0.4415095288399883
9	Jaldapara National Park (Pron: ˌʤʌldəˈpɑ:rə) (Official Website - www.jaldaparanationalpark.org) is a national park situated at the foothills of the Eastern Himalayas in Alipurduar District of northern West Bengal and on the banks of the Torsa River.	जलदापारा राष्ट्रीय उद्यान (Pron: indialear villedsimilar park) (आधिकारिक वेबसाइट-www. jaldaparanationalpark. org) उत्तरी पश्चिम बंगाल के अलीपुरद्वार जिले में पूर्वी हिमालय की तलहटी में और तोरसा नदी के तट पर स्थित एक राष्ट्रीय उद्यान है।	[85, 80, 59, 59]	70.75	[-0.28770816302708796, -0.6301385576415794, -1.4354538511751298, -1.4458935919862494]	-0.9497985409575116
10	Modinagar railway station (code: MDNR) is a main railway station in Ghaziabad district, Uttar Pradesh.	मोदीनगर रेलवे स्टेशन (कोडः MDNR) उत्तर प्रदेश के गाजियाबाद जिले में एक मुख्य रेलवे स्टेशन है।	[95, 95, 88, 88]	91.5	[0.539888771918306, 0.6254510232064127, 1.5645886871344867, 1.2732607766975914]	1.000797314739199
11	Both young woman suffered abuse from their husbands and in-laws.	दोनों युवतियों को अपने पतियों और ससुराल वालों से दुर्व्यवहार झेलना पड़ा।	[100, 85, 78, 78]	85.25	[0.953687239391003, -0.2116086973589154, 0.5300912601311706, 0.3356213392204049]	0.4019477853459157
12	In marine environments, photodegraded plastic disintegrates into ever-smaller pieces while remaining polymers, even down to the molecular level.	समुद्री वातावरण में, फोटोडिग्रेडेड प्लास्टिक पॉलिमर रहते हुए आणविक स्तर तक भी छोटे टुकड़ों में विघटित हो जाता है।	[90, 90, 80, 80]	85.0	[0.12609030444560904, 0.2069211629237486, 0.7369907455318339, 0.5231492267158422]	0.3982878599042584
13	Sleep timing is controlled by the circadian clock (Process C), sleep-wake homeostasis (Process S), and to some extent by the individual will.	नींद का समय सर्केडियन घड़ी (प्रोसेस सी), स्लीप-वेक होमियोस्टैसिस (प्रोसेस एस) और कुछ हद तक व्यक्तिगत इच्छा द्वारा नियंत्रित होता है।	[95, 95, 70, 70]	82.5	[0.539888771918306, 0.6254510232064127, -0.29750668147148224, -0.4144902107613443]	0.113335725722973
14	Smart Lander for Investigating Moon (SLIM) is a lunar lander being developed by the Japan Aerospace Exploration Agency (JAXA).	स्मार्ट लैंडर फॉर इन्वेस्टिगेटिंग मून (एसएलआईएम) जापान एयरोस्पेस एक्सप्लोरेशन एजेंसी (जेएएक्सए) द्वारा विकसित किया जा रहा एक चंद्र लैंडर है।	[95, 95, 65, 65]	80.0	[0.539888771918306, 0.6254510232064127, -0.8147553949731403, -0.8833099294999376]	-0.1331813823370898
15	The design criteria, performance (specified by package testing), completion time targets, resources, and cost constraints need to be established and agreed upon.	डिजाइन मानदंड, प्रदर्शन (पैकेज परीक्षण द्वारा निर्दिष्ट), पूरा होने के समय के लक्ष्य, संसाधन और लागत की बाधाओं को स्थापित करने और उन पर सहमति बनाने की आवश्यकता है।	[90, 90, 76, 85]	85.25	[0.12609030444560904, 0.2069211629237486, 0.3231917747305074, 0.9919689454544354]	0.412043046888575
16	"In his book, Language, Truth and Logic, Ayer suggested a protocol to distinguish between a conscious man and an unconscious machine: ""The only ground I can have for asserting that an object which appears to be conscious is not really a conscious being, but only a dummy or a machine, is that it fails to satisfy one of the empirical tests by which the presence or absence of consciousness is determined."""	"""अपनी पुस्तक, लैंग्वेज, ट्रुथ एंड लॉजिक में, आयर ने एक सचेत व्यक्ति और एक अचेतन मशीन के बीच अंतर करने के लिए एक प्रोटोकॉल का सुझाव दियाः"" ""मेरे पास इस बात पर जोर देने के लिए एकमात्र आधार है कि एक वस्तु जो सचेत प्रतीत होती है वह वास्तव में एक सचेत व्यक्ति नहीं है, बल्कि केवल एक डमी या एक मशीन है, यह एक अनुभवजन्य परीक्षणों में से एक को संतुष्ट करने में विफल है जिसके द्वारा चेतना की उपस्थिति या अनुपस्थिति निर्धारित होती है।"""	[90, 90, 64, 80]	81.0	[0.12609030444560904, 0.2069211629237486, -0.9182051376734719, 0.5231492267158422]	-0.015511110897068
17	David Scott negotiated for the surrender of the leader of the Khasi resistance, Tirot Sing, who was then taken to Dacca (present-day Dhaka) for detention.	डेविड स्कॉट ने खासी प्रतिरोध के नेता, तिरोट सिंग के आत्मसमर्पण के लिए बातचीत की, जिन्हें तब हिरासत में लेने के लिए ढाका (वर्तमान ढाका) ले जाया गया था।	[90, 90, 78, 82]	85.0	[0.12609030444560904, 0.2069211629237486, 0.5300912601311706, 0.7106771142112794]	0.3934449604279519
18	The airport is named after Maharana Pratap who was a Maharana (ruler) of the princely state of Mewar, in north-western India.	हवाई अड्डे का नाम महाराणा प्रताप के नाम पर रखा गया है, जो उत्तर-पश्चिमी भारत में मेवाड़ रियासत के महाराणा (शासक) थे।	[95, 95, 79, 87]	89.0	[0.539888771918306, 0.6254510232064127, 0.6335410028315023, 1.1794968329498727]	0.7445944077265234
19	Protesters were instead concerned with a variety of other issues.	इसके बजाय प्रदर्शनकारी कई अन्य मुद्दों से चिंतित थे।	[100, 85, 69, 76]	82.5	[0.953687239391003, -0.2116086973589154, -0.4009564241718138, 0.1480934517249676]	0.1223038923963103
20	Hodal, Palwal, Vrindavan, Mathura are the cities nearby Kotwan.	होडल, पलवल, वृंदावन, मथुरा निकटवर्ती शहर हैं।	[45, 50, 81, 61]	59.25	[-3.5980959028086636, -3.1413177193375637, 0.8404404882321654, -1.258365704490812]	-1.7893347096012184
21	"The Musahiban family started with his older brother, Sultan Mohammad Khan, nicknamed ""Telai"", meaning ""golden"", a nickname he was given because of his love of fine clothing."	मुसाहिबान परिवार की शुरुआत उनके बड़े भाई सुल्तान मोहम्मद खान से हुई, जिनका उपनाम तेलाई था, जिसका अर्थ है सुनहरा, यह उपनाम उन्हें उनके अच्छे कपड़ों के प्यार के कारण दिया गया था।	[90, 90, 79, 76]	83.75	[0.12609030444560904, 0.2069211629237486, 0.6335410028315023, 0.1480934517249676]	0.2786614804814569
22	He also served as the chairman of Governing body of Ramjas College, University of Delhi, after the death of its Founder Shri Rai Kedarnath.	उन्होंने रामजस कॉलेज, दिल्ली विश्वविद्यालय के संस्थापक श्री राय केदारनाथ के निधन के बाद इसके गवर्निंग बॉडी के अध्यक्ष के रूप में भी कार्य किया।	[95, 95, 87, 92]	92.25	[0.539888771918306, 0.6254510232064127, 1.4611389444341552, 1.648316551688466]	1.068698822811835
23	Raghunathpur is a village in Uttar Pradesh, India.	रघुनाथपुर (Raghunathpur) भारत के उत्तर प्रदेश राज्य के झाँसी ज़िले में स्थित एक गाँव है।	[55, 60, 65, 70]	62.5	[-2.77049896786327, -2.3042579987722354, -0.8147553949731403, -0.4144902107613443]	-1.576000643092497
24	"Miami citizens began a campaign to label the buildings as ""historic""."	"""मियामी के नागरिकों ने इमारतों को"" ""ऐतिहासिक"" ""के रूप में लेबल करने के लिए एक अभियान शुरू किया।"""	[70, 70, 84, 84]	77.0	[-1.529103565445179, -1.4671982782069075, 1.1507897163331602, 0.8982050017067168]	-0.2368267814030524
25	Work by scientist Menna Jones and a group of conservation volunteers to remove dead animals from the road resulted in a significant reduction in devil traffic deaths.	वैज्ञानिक मेन्ना जोन्स और संरक्षण स्वयंसेवकों के एक समूह द्वारा मृत पशुओं को सड़क से हटाने के कार्य के परिणामस्वरूप डैविल यातायात में होने वाली मौतों में उल्लेखनीय कमी आई है।	[50, 45, 79, 83]	64.25	[-3.1842974353359668, -3.5598475796202274, 0.6335410028315023, 0.8044410579589981]	-1.3265407385414234
26	His technical innovations and enormous influence left a lasting legacy.	उनके तकनीकी नवाचारों और व्यापक प्रभाव ने एक स्थायी विरासत छोड़ी है।	[95, 90, 66, 81]	83.0	[0.539888771918306, 0.2069211629237486, -0.7113056522728086, 0.6169131704635609]	0.1631043632582017
